Lon	Lat	WDP
16.25	66.75	0.019027777
16.75	66.75	0.016611938
17.25	66.75	0.009027394
17.75	66.75	0.00658547
18.25	66.75	0.00633826
18.75	66.75	0.006289369
19.25	66.75	0.00712096
19.75	66.75	0.007898991
20.25	66.75	0.007471778
20.75	66.75	0.006755888
21.25	66.75	0.006515146
21.75	66.75	0.007408273
22.25	66.75	0.008490332
22.75	66.75	0.008544358
23.25	66.75	0.008712358
23.75	66.75	0.007771123
24.25	66.75	0.007189847
24.75	66.75	0.008982321
25.25	66.75	0.010215596
25.75	66.75	0.010588031
26.25	66.75	0.010958769
26.75	66.75	0.011500877
27.25	66.75	0.012156564
27.75	66.75	0.012778314
28.25	66.75	0.01327996
28.75	66.75	0.013315641
29.25	66.75	0.012922297
12.25	66.25	0.020025343
12.75	66.25	0.021548963
13.25	66.25	0.017888504
13.75	66.25	0.019090664
14.25	66.25	0.021188132
14.75	66.25	0.022305349
15.25	66.25	0.0229729
15.75	66.25	0.019342646
16.25	66.25	0.014712879
16.75	66.25	0.007718835
17.25	66.25	0.005297262
17.75	66.25	0.00550348
18.25	66.25	0.005847671
18.75	66.25	0.005208009
19.25	66.25	0.005017863
19.75	66.25	0.004341902
20.25	66.25	0.003936382
20.75	66.25	0.004243046
21.25	66.25	0.00487536
21.75	66.25	0.006027057
22.25	66.25	0.005849736
22.75	66.25	0.006698393
23.25	66.25	0.007600582
23.75	66.25	0.006497813
24.25	66.25	0.00736091
24.75	66.25	0.009299966
25.25	66.25	0.009835625
25.75	66.25	0.010107152
26.25	66.25	0.010530953
26.75	66.25	0.010858822
27.25	66.25	0.011205978
27.75	66.25	0.011863093
28.25	66.25	0.012022962
28.75	66.25	0.012083471
29.25	66.25	0.012295097
29.75	66.25	0.012240985
11.75	65.75	0.025754415
12.25	65.75	0.024075091
12.75	65.75	0.021190721
13.25	65.75	0.021697959
13.75	65.75	0.022694482
14.25	65.75	0.021102637
14.75	65.75	0.019910762
15.25	65.75	0.018546217
15.75	65.75	0.014924557
16.25	65.75	0.010891749
16.75	65.75	0.006735572
17.25	65.75	0.00495084
17.75	65.75	0.005120921
18.25	65.75	0.006593423
18.75	65.75	0.006206535
19.25	65.75	0.005019153
19.75	65.75	0.003991923
20.25	65.75	0.003939802
20.75	65.75	0.003355847
21.25	65.75	0.003735305
21.75	65.75	0.004999824
22.25	65.75	0.006300598
22.75	65.75	0.007165466
23.25	65.75	0.009578474
23.75	65.75	0.009364277
24.25	65.75	0.009618322
24.75	65.75	0.008958899
25.25	65.75	0.008663391
25.75	65.75	0.009923654
26.25	65.75	0.010379986
26.75	65.75	0.010582502
27.25	65.75	0.010776012
27.75	65.75	0.011119238
28.25	65.75	0.011295222
28.75	65.75	0.011624373
29.25	65.75	0.011693112
29.75	65.75	0.01183375
11.25	65.25	0.027604463
11.75	65.25	0.02521344
12.25	65.25	0.025993818
12.75	65.25	0.026385651
13.25	65.25	0.026724572
13.75	65.25	0.025080597
14.25	65.25	0.022121658
14.75	65.25	0.020167942
15.25	65.25	0.017317161
15.75	65.25	0.010563815
16.25	65.25	0.007373782
16.75	65.25	0.006758365
17.25	65.25	0.005150256
17.75	65.25	0.004270329
18.25	65.25	0.005028257
18.75	65.25	0.005705313
19.25	65.25	0.005179099
19.75	65.25	0.00472689
20.25	65.25	0.004489409
20.75	65.25	0.003979774
21.25	65.25	0.004469322
21.75	65.25	0.007741724
25.25	65.25	0.006661033
25.75	65.25	0.007274221
26.25	65.25	0.009541586
26.75	65.25	0.009664198
27.25	65.25	0.008540566
27.75	65.25	0.008150622
28.25	65.25	0.008625979
28.75	65.25	0.009211204
29.25	65.25	0.010263842
29.75	65.25	0.011205453
10.75	64.75	0.026008299
11.25	64.75	0.02515212
11.75	64.75	0.025110823
12.25	64.75	0.02585011
12.75	64.75	0.025813777
13.25	64.75	0.024298581
13.75	64.75	0.024266738
14.25	64.75	0.020927056
