Lon	Lat
-4.25	48.25
-3.75	47.75
-3.75	48.25
-3.75	48.75
-3.25	47.75
-3.25	48.25
-3.25	48.75
-2.75	47.75
-2.75	48.25
-2.25	47.25
-2.25	47.75
-2.25	48.25
-1.75	46.75
-1.75	47.25
-1.75	47.75
-1.75	48.25
-1.75	48.75
-1.75	49.25
-1.25	43.25
-1.25	43.75
-1.25	44.25
-1.25	46.25
-1.25	46.75
-1.25	47.25
-1.25	47.75
-1.25	48.25
-1.25	48.75
-1.25	49.25
-0.75	43.25
-0.75	43.75
-0.75	44.25
-0.75	44.75
-0.75	45.25
-0.75	45.75
-0.75	46.25
-0.75	46.75
-0.75	47.25
-0.75	47.75
-0.75	48.25
-0.75	48.75
-0.75	49.25
-0.25	43.25
-0.25	43.75
-0.25	44.25
-0.25	44.75
-0.25	45.25
-0.25	45.75
-0.25	46.25
-0.25	46.75
-0.25	47.25
-0.25	47.75
-0.25	48.25
-0.25	48.75
-0.25	49.25
0.25	42.75
0.25	43.25
0.25	43.75
0.25	44.25
0.25	44.75
0.25	45.25
0.25	45.75
0.25	46.25
0.25	46.75
0.25	47.25
0.25	47.75
0.25	48.25
0.25	48.75
0.25	49.25
0.25	49.75
0.75	43.25
0.75	43.75
0.75	44.25
0.75	44.75
0.75	45.25
0.75	45.75
0.75	46.25
0.75	46.75
0.75	47.25
0.75	47.75
0.75	48.25
0.75	48.75
0.75	49.25
0.75	49.75
1.25	42.75
1.25	43.25
1.25	43.75
1.25	44.25
1.25	44.75
1.25	45.25
1.25	45.75
1.25	46.25
1.25	46.75
1.25	47.25
1.25	47.75
1.25	48.25
1.25	48.75
1.25	49.25
1.25	49.75
1.75	42.75
1.75	43.25
1.75	43.75
1.75	44.25
1.75	44.75
1.75	45.25
1.75	45.75
1.75	46.25
1.75	46.75
1.75	47.25
1.75	47.75
1.75	48.25
1.75	48.75
1.75	49.25
1.75	49.75
1.75	50.25
1.75	50.75
2.25	42.75
2.25	43.25
2.25	43.75
2.25	44.25
2.25	44.75
2.25	45.25
2.25	45.75
2.25	46.25
2.25	46.75
2.25	47.25
2.25	47.75
2.25	48.25
2.25	48.75
2.25	49.25
2.25	49.75
2.25	50.25
2.25	50.75
2.75	42.75
2.75	43.25
2.75	43.75
2.75	44.25
2.75	44.75
2.75	45.25
2.75	45.75
2.75	46.25
2.75	46.75
2.75	47.25
2.75	47.75
2.75	48.25
2.75	48.75
2.75	49.25
2.75	49.75
2.75	50.25
2.75	50.75
3.25	43.25
3.25	43.75
3.25	44.25
3.25	44.75
3.25	45.25
3.25	45.75
3.25	46.25
3.25	46.75
3.25	47.25
3.25	47.75
3.25	48.25
3.25	48.75
3.25	49.25
3.25	49.75
3.25	50.25
3.75	43.75
3.75	44.25
3.75	44.75
3.75	45.25
3.75	45.75
3.75	46.25
3.75	46.75
3.75	47.25
3.75	47.75
3.75	48.25
3.75	48.75
3.75	49.25
3.75	49.75
3.75	50.25
4.25	43.75
4.25	44.25
4.25	44.75
4.25	45.25
4.25	45.75
4.25	46.25
4.25	46.75
4.25	47.25
4.25	47.75
4.25	48.25
4.25	48.75
4.25	49.25
4.25	49.75
4.75	43.75
4.75	44.25
4.75	44.75
4.75	45.25
4.75	45.75
4.75	46.25
4.75	46.75
4.75	47.25
4.75	47.75
4.75	48.25
4.75	48.75
4.75	49.25
4.75	49.75
5.25	43.75
5.25	44.25
5.25	44.75
5.25	45.25
5.25	45.75
5.25	46.25
5.25	46.75
5.25	47.25
5.25	47.75
5.25	48.25
5.25	48.75
5.25	49.25
5.75	43.25
5.75	43.75
5.75	44.25
5.75	44.75
5.75	45.25
5.75	45.75
5.75	46.25
5.75	46.75
5.75	47.25
5.75	47.75
5.75	48.25
5.75	48.75
5.75	49.25
6.25	43.25
6.25	43.75
6.25	44.25
6.25	44.75
6.25	45.25
6.25	45.75
6.25	46.75
6.25	47.25
6.25	47.75
6.25	48.25
6.25	48.75
6.25	49.25
6.75	43.75
6.75	44.25
6.75	44.75
6.75	45.25
6.75	45.75
6.75	46.25
6.75	47.25
6.75	47.75
6.75	48.25
6.75	48.75
7.25	43.75
7.25	47.75
7.25	48.25
7.25	48.75
7.75	48.75
8.75	41.75
8.75	42.25
9.25	41.75
9.25	42.25
9.25	42.75
