Lon	Lat
6.25	50.25
6.25	50.75
6.25	51.25
6.25	51.75
6.75	49.25
6.75	49.75
6.75	50.25
6.75	50.75
6.75	51.25
6.75	51.75
7.25	49.25
7.25	49.75
7.25	50.25
7.25	50.75
7.25	51.25
7.25	51.75
7.25	52.25
7.25	52.75
7.25	53.25
7.75	47.75
7.75	48.25
7.75	49.25
7.75	49.75
7.75	50.25
7.75	50.75
7.75	51.25
7.75	51.75
7.75	52.25
7.75	52.75
7.75	53.25
7.75	53.75
8.25	47.75
8.25	48.25
8.25	48.75
8.25	49.25
8.25	49.75
8.25	50.25
8.25	50.75
8.25	51.25
8.25	51.75
8.25	52.25
8.25	52.75
8.25	53.25
8.75	47.75
8.75	48.25
8.75	48.75
8.75	49.25
8.75	49.75
8.75	50.25
8.75	50.75
8.75	51.25
8.75	51.75
8.75	52.25
8.75	52.75
8.75	53.25
8.75	53.75
8.75	54.75
9.25	47.75
9.25	48.25
9.25	48.75
9.25	49.25
9.25	49.75
9.25	50.25
9.25	50.75
9.25	51.25
9.25	51.75
9.25	52.25
9.25	52.75
9.25	53.25
9.25	53.75
9.25	54.25
9.25	54.75
9.75	47.75
9.75	48.25
9.75	48.75
9.75	49.25
9.75	49.75
9.75	50.25
9.75	50.75
9.75	51.25
9.75	51.75
9.75	52.25
9.75	52.75
9.75	53.25
9.75	53.75
9.75	54.25
9.75	54.75
10.25	47.75
10.25	48.25
10.25	48.75
10.25	49.25
10.25	49.75
10.25	50.25
10.25	50.75
10.25	51.25
10.25	51.75
10.25	52.25
10.25	52.75
10.25	53.25
10.25	53.75
10.25	54.25
10.75	47.75
10.75	48.25
10.75	48.75
10.75	49.25
10.75	49.75
10.75	50.25
10.75	50.75
10.75	51.25
10.75	51.75
10.75	52.25
10.75	52.75
10.75	53.25
10.75	53.75
10.75	54.25
11.25	47.75
11.25	48.25
11.25	48.75
11.25	49.25
11.25	49.75
11.25	50.25
11.25	50.75
11.25	51.25
11.25	51.75
11.25	52.25
11.25	52.75
11.25	53.25
11.25	53.75
11.75	47.75
11.75	48.25
11.75	48.75
11.75	49.25
11.75	49.75
11.75	50.25
11.75	50.75
11.75	51.25
11.75	51.75
11.75	52.25
11.75	52.75
11.75	53.25
11.75	53.75
12.25	47.75
12.25	48.25
12.25	48.75
12.25	49.25
12.25	49.75
12.25	50.75
12.25	51.25
12.25	51.75
12.25	52.25
12.25	52.75
12.25	53.25
12.25	53.75
12.25	54.25
12.75	47.75
12.75	48.25
12.75	48.75
12.75	49.25
12.75	50.75
12.75	51.25
12.75	51.75
12.75	52.25
12.75	52.75
12.75	53.25
12.75	53.75
12.75	54.25
13.25	48.75
13.25	50.75
13.25	51.25
13.25	51.75
13.25	52.25
13.25	52.75
13.25	53.25
13.25	53.75
13.25	54.25
13.75	48.75
13.75	50.75
13.75	51.25
13.75	51.75
13.75	52.25
13.75	52.75
13.75	53.25
13.75	53.75
14.25	51.25
14.25	51.75
14.25	52.25
14.25	52.75
14.25	53.25
14.25	53.75
14.75	51.25
