Lon	Lat		
12.25	50.25	
12.75	49.75	
12.75	50.25	
13.25	49.25	
13.25	49.75	
13.25	50.25	
13.75	49.25	
13.75	49.75	
13.75	50.25	
14.25	48.75	
14.25	49.25	
14.25	49.75	
14.25	50.25	
14.25	50.75	
14.75	48.75	
14.75	49.25	
14.75	49.75	
14.75	50.25	
14.75	50.75	
15.25	49.25	
15.25	49.75	
15.25	50.25	
15.25	50.75	
15.75	49.25	
15.75	49.75	
15.75	50.25	
15.75	50.75	
16.25	48.75	
16.25	49.25	
16.25	49.75	
16.25	50.25	
16.75	48.75	
16.75	49.25	
16.75	49.75	
17.25	49.25	
17.25	49.75	
17.25	50.25	
17.75	49.25	
17.75	49.75	
17.75	50.25	
18.25	49.75	
